0,正,簡,隋文,華文,粤文,韓文,日文,華注音,韓諺文,日仮名
256,龍,龙,Lyoŋ,Lóng,Lung4,Ryong,Ryô,ㄌㄨㄥˊ,룡,リョウ
257,葉,叶,Shiep,Yè,Jip6,Yeop,Syô,ㄧㄝˋ,엽,ショウ
258,幸,幸,Xréŋ,Xìng,Hang6,Haeng,Kô,ㄒㄧㄥˋ,행,コウ
259,司,司,Siə,Sī,Si1,Sa,Si,ㄙ,사,シ
260,韶,韶,Dieu,Sháo,Siu4,So,Syô,ㄕㄠˊ,소,ショウ
261,郜,郜,Kâu,Gào,Gou3,Go,Kô,ㄍㄠˋ,고,コウ
262,黎,黎,Lei,Lí,Lai4,Ryeo,Rei,ㄌㄧˊ,려,レイ
263,薊,蓟,Kêi,Jì,Gai3,Gye,Kei,ㄐㄧˋ,계,ケイ
264,薄,薄,Bak,Bó,Bok6,Bak,Haku,ㄅㄛˊ,박,ハク
265,印,印,Qîn,Yìn,Jan3,In,In,ㄧㄣˋ,인,イン
266,宿,宿,Syuk,Sù,Suk1,Suk,Syuku,ㄙㄨˋ,숙,シュク
267,白,白,Brak,Bái,Baak6,Baek,Haku,ㄅㄞˊ,백,ハク
268,懷,怀,Xruei,Huái,Waai4,Hoe,Kai,ㄏㄨㄞˊ,회,カイ
269,蒲,蒲,Bo,Pú,Pou4,Po,Ho,ㄆㄨˊ,포,ホ
270,邰,邰,Thəi,Tái,Toi4,Tae,Tai,ㄊㄞˊ,태,タイ
271,從,从,Dzyoŋ,Cóng,Cung4,Jong,Syô,ㄘㄨㄥˊ,종,ショウ
272,鄂,鄂,Ŋak,È,Ngok6,Ak,Gaku,ㄜˋ,악,ガク
273,索,索,Sak,Suǒ,Sok3,Saek,Saku,ㄙㄨㄛˇ,색,サク
274,咸,咸,Xrem,Xián,Haam4,Ham,Kan,ㄒㄧㄢˊ,함,カン
275,籍,籍,Dziek,Jí,Zik6,Jeok,Seki,ㄐㄧˊ,적,セキ
276,賴,赖,Lâi,Lài,Laai6,Roe,Rai,ㄌㄞˋ,뢰,ライ
277,卓,卓,Trok,Zhuó,Coek3,Tak,Taku,ㄓㄨㄛˊ,탁,タク
278,藺,蔺,Lîn,Lìn,Leon6,Rin,Rin,ㄌㄧㄣˋ,린,リン
279,屠,屠,Do,Tú,Tou4,Do,To,ㄊㄨˊ,도,ト
280,蒙,蒙,Muŋ,Méng,Mung4,Mong,Bô,ㄇㄥˊ,몽,ボウ
281,池,池,Drie,Chí,Ci4,Ji,Ti,ㄔˊ,지,チ
282,喬,乔,Grieu,Qiáo,Kiu4,Gyo,Kyô,ㄑㄧㄠˊ,교,キョウ
283,陰,阴,Qrim,Yīn,Jam1,Eum,In,ㄧㄣ,음,イン
284,鬱,郁,Qyut,Yù,Wat1,Ul,Utu,ㄩˋ,울,ウツ
285,胥,胥,Sio,Xū,Seoi1,Seo,Syo,ㄒㄩ,서,ショ
